Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,AGE,sex
SRR20640769,RNA-Seq,50,53054650,PRJNA862285,SAMN29957414,21487465,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX16663931,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388101,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6388101,Bone marrow,SRP388304,Bone marrow,,
SRR20640770,RNA-Seq,50,55923650,PRJNA862285,SAMN29957415,22578247,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX16663930,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388100,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6388100,Bone marrow,SRP388304,Bone marrow,,
SRR20640771,RNA-Seq,50,52924650,PRJNA862285,SAMN29957416,21553313,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX16663929,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388099,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6388099,Bone marrow,SRP388304,Bone marrow,,
SRR20640772,RNA-Seq,50,44977550,PRJNA862285,SAMN29957417,18180658,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX16663928,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388098,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6388098,Bone marrow,SRP388304,Bone marrow,,
SRR20640773,RNA-Seq,50,58163450,PRJNA862285,SAMN29957418,23667954,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX16663927,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388097,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388097,Bone marrow,SRP388304,Bone marrow,,
SRR20640774,RNA-Seq,50,51792750,PRJNA862285,SAMN29957419,21023402,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX16663926,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388096,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6388096,Bone marrow,SRP388304,Bone marrow,,
SRR20640781,RNA-Seq,50,40067800,PRJNA862285,SAMN29957442,16737963,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX16663919,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388073,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6388073,Bone marrow,SRP388304,Bone marrow,,
SRR20640782,RNA-Seq,50,44101750,PRJNA862285,SAMN29957443,18033611,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX16663918,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388072,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6388072,Bone marrow,SRP388304,Bone marrow,,
SRR20640783,RNA-Seq,50,56998750,PRJNA862285,SAMN29957444,23221695,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16663917,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388071,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6388071,Bone marrow,SRP388304,Bone marrow,,
SRR20640787,RNA-Seq,50,50724400,PRJNA862285,SAMN29957472,20575215,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16663913,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388043,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388043,Bone marrow,SRP388304,Bone marrow,,
SRR20640788,RNA-Seq,50,53581450,PRJNA862285,SAMN29957473,21654200,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX16663912,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388042,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6388042,Bone marrow,SRP388304,Bone marrow,,
SRR20640792,RNA-Seq,50,55201750,PRJNA862285,SAMN29957477,22514606,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX16663908,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388038,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6388038,Bone marrow,SRP388304,Bone marrow,,
SRR20640793,RNA-Seq,50,43391500,PRJNA862285,SAMN29957294,16918611,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX16663907,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388221,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6388221,Bone marrow,SRP388304,Bone marrow,,
SRR20640794,RNA-Seq,50,55343400,PRJNA862285,SAMN29957295,21822696,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX16663906,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388220,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388220,Bone marrow,SRP388304,Bone marrow,,
SRR20640795,RNA-Seq,50,38132600,PRJNA862285,SAMN29957296,14958205,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX16663905,p53 knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388219,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6388219,Bone marrow,SRP388304,Bone marrow,,
SRR20640796,RNA-Seq,50,42290450,PRJNA862285,SAMN29957297,16804041,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX16663904,p53 knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388218,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6388218,Bone marrow,SRP388304,Bone marrow,,
SRR20640797,RNA-Seq,50,45457000,PRJNA862285,SAMN29957298,18053950,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX16663903,p53 knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388217,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6388217,Bone marrow,SRP388304,Bone marrow,,
SRR20640804,RNA-Seq,50,54540950,PRJNA862285,SAMN29957329,21905878,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16663896,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388186,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388186,Bone marrow,SRP388304,Bone marrow,,
SRR20640805,RNA-Seq,50,46792400,PRJNA862285,SAMN29957330,18522843,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX16663895,p53 knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388185,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6388185,Bone marrow,SRP388304,Bone marrow,,
SRR20640806,RNA-Seq,50,30349900,PRJNA862285,SAMN29955353,13910440,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16664068,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389726,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6389726,Bone marrow,SRP388304,Bone marrow,,
SRR20640807,RNA-Seq,50,39733600,PRJNA862285,SAMN29955418,18065825,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX16664067,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389661,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6389661,Bone marrow,SRP388304,Bone marrow,,
SRR20640813,RNA-Seq,50,34968750,PRJNA862285,SAMN29955424,15999977,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX16664061,Aldh2 & Fancd2 & p53 triple knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389655,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6389655,Bone marrow,SRP388304,Bone marrow,,
SRR20640814,RNA-Seq,50,35078350,PRJNA862285,SAMN29955425,16045161,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX16664060,Aldh2 & Fancd2 & p53 triple knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389654,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6389654,Bone marrow,SRP388304,Bone marrow,,
SRR20640815,RNA-Seq,50,34410450,PRJNA862285,SAMN29955458,15730319,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX16664059,Aldh2 & Fancd2 & p53 triple knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389621,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6389621,Bone marrow,SRP388304,Bone marrow,,
SRR20640816,RNA-Seq,50,25826100,PRJNA862285,SAMN29955459,11841103,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX16664058,Aldh2 & Fancd2 & p53 triple knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389620,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6389620,Bone marrow,SRP388304,Bone marrow,,
SRR20640817,RNA-Seq,50,38554950,PRJNA862285,SAMN29955460,17763339,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX16664057,Aldh2 & Fancd2 & p53 triple knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389619,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6389619,Bone marrow,SRP388304,Bone marrow,,
SRR20640818,RNA-Seq,50,35940400,PRJNA862285,SAMN29955461,16396879,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX16664056,Aldh2 & Fancd2 & p53 triple knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389618,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6389618,Bone marrow,SRP388304,Bone marrow,,
SRR20640819,RNA-Seq,50,36348250,PRJNA862285,SAMN29955462,16892839,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX16664055,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389617,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6389617,Bone marrow,SRP388304,Bone marrow,,
SRR20640820,RNA-Seq,50,28777350,PRJNA862285,SAMN29955463,13231033,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16664054,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389616,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:49:00Z,1,GSM6389616,Bone marrow,SRP388304,Bone marrow,,
SRR20640821,RNA-Seq,50,41761300,PRJNA862285,SAMN29955464,19140633,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16664053,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389615,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6389615,Bone marrow,SRP388304,Bone marrow,,
SRR20640822,RNA-Seq,50,43877700,PRJNA862285,SAMN29955465,19998148,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX16664052,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389614,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6389614,Bone marrow,SRP388304,Bone marrow,,
SRR20640852,RNA-Seq,50,37157700,PRJNA862285,SAMN29956682,14600996,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX16664022,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388480,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388480,Bone marrow,SRP388304,Bone marrow,,
SRR20640853,RNA-Seq,50,45778900,PRJNA862285,SAMN29956683,17960062,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX16664021,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388479,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388479,Bone marrow,SRP388304,Bone marrow,,
SRR20640854,RNA-Seq,50,40310700,PRJNA862285,SAMN29956684,15824766,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX16664020,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388478,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388478,Bone marrow,SRP388304,Bone marrow,,
SRR20640855,RNA-Seq,50,47216000,PRJNA862285,SAMN29956709,18671466,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX16664019,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388453,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388453,Bone marrow,SRP388304,Bone marrow,,
SRR20640856,RNA-Seq,50,47751200,PRJNA862285,SAMN29956710,18598846,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX16664018,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388452,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388452,Bone marrow,SRP388304,Bone marrow,,
SRR20640857,RNA-Seq,50,40008000,PRJNA862285,SAMN29956711,15829945,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX16664017,p53 knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388451,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388451,Bone marrow,SRP388304,Bone marrow,,
SRR20640858,RNA-Seq,50,46973150,PRJNA862285,SAMN29956712,18621227,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX16664016,p53 knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388450,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388450,Bone marrow,SRP388304,Bone marrow,,
SRR20640859,RNA-Seq,50,47192150,PRJNA862285,SAMN29956713,18429758,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16664015,p53 knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388449,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388449,Bone marrow,SRP388304,Bone marrow,,
SRR20640860,RNA-Seq,50,43916200,PRJNA862285,SAMN29956714,17297759,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX16664014,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388448,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388448,Bone marrow,SRP388304,Bone marrow,,
SRR20640861,RNA-Seq,50,33657100,PRJNA862285,SAMN29956715,13360764,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16664013,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388447,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388447,Bone marrow,SRP388304,Bone marrow,,
SRR20640862,RNA-Seq,50,48028200,PRJNA862285,SAMN29956716,19120617,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX16664012,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388446,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388446,Bone marrow,SRP388304,Bone marrow,,
SRR20640863,RNA-Seq,50,45658200,PRJNA862285,SAMN29956741,18116063,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX16664011,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388421,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388421,Bone marrow,SRP388304,Bone marrow,,
SRR20640864,RNA-Seq,50,46743900,PRJNA862285,SAMN29956742,18523542,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX16664010,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388420,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388420,Bone marrow,SRP388304,Bone marrow,,
SRR20640865,RNA-Seq,50,42500450,PRJNA862285,SAMN29956743,16985231,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX16664009,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388419,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388419,Bone marrow,SRP388304,Bone marrow,,
SRR20640866,RNA-Seq,50,48260350,PRJNA862285,SAMN29956744,19062054,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX16664008,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388418,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:50:00Z,1,GSM6388418,Bone marrow,SRP388304,Bone marrow,,
